t,C(t)
10498.0,-0.001689590818019875
10499.0,-0.0015548809628603884
10500.0,-0.0012564058844530374
10501.0,-0.0010390058008655642
10502.0,-0.0007865198109209366
10503.0,-0.0005284952715210311
10504.0,-0.000296263997979788
10505.0,-0.0001696252848352252
10506.0,-0.00010165905365660494
10507.0,4.879306821460872e-05
10508.0,0.00015863630500057048
10509.0,0.00024075444046943722
10510.0,0.00028873068447721103
10511.0,0.0003027017317513072
10512.0,0.00025123154111068136
10513.0,0.0001837541643381139
10514.0,6.770251365844686e-05
10515.0,-6.710747287429135e-05
10516.0,-0.00019305427074404346
10517.0,-0.00034712878579435037
10518.0,-0.0005078665022048034
10519.0,-0.0006637622081984151
10520.0,-0.0008307647266148849
10521.0,-0.001055019156286355
10522.0,-0.0013496291275926827
10523.0,-0.0016012242111031038
10524.0,-0.0018041193987272568
10525.0,-0.0019811701689015325
10526.0,-0.002116996351712142
10527.0,-0.002407146590751799
10528.0,-0.00272343537287639
10529.0,-0.0029852754155310834
10530.0,-0.0031170361744842097
10531.0,-0.0032449119683540663
10532.0,-0.003327534170442788
10533.0,-0.0034808922771383567
10534.0,-0.0035570270599069847
10535.0,-0.003432972892672272
10536.0,-0.0033144033414362496
10537.0,-0.003151796727582865
10538.0,-0.0030420383186465787
10539.0,-0.0028579746737760693
10540.0,-0.0026678661827096773
10541.0,-0.002405935410509408
10542.0,-0.002179350681862884
10543.0,-0.0019418129509078692
10544.0,-0.0016402914038497016
10545.0,-0.0013557436459896407
10546.0,-0.0011757536824993614
10547.0,-0.0011296614480710736
10548.0,-0.0011196137403810052
10549.0,-0.0011935632648186784
10550.0,-0.0012058947416965016
10551.0,-0.0010968494730248194
10552.0,-0.001041636623979227
10553.0,-0.0008998200491130283
10554.0,-0.0008032561205312999
10555.0,-0.0007740547321129887
10556.0,-0.0007872901455429567
10557.0,-0.0008651110151250111
10558.0,-0.0010053440154316827
10559.0,-0.001103132443635788
10560.0,-0.001131055478420133
10561.0,-0.00119942405406129
10562.0,-0.001311837677982679
10563.0,-0.0012844957227229007
10564.0,-0.0012017701004802162
10565.0,-0.0010314884381487834
10566.0,-0.0007908219928777336
10567.0,-0.00061215696596151
10568.0,-0.00040371781584112675
10569.0,-0.00031078513840692345
10570.0,-0.0002889130418151585
10571.0,-0.0003055032286842022
10572.0,-0.00025376422567730634
10573.0,-0.00014000577840544534
10574.0,-7.151823865389386e-05
10575.0,-3.987926597542433e-05
10576.0,-9.738707771530885e-05
10577.0,-0.00028403578949961567
10578.0,-0.0005269067501356032
10579.0,-0.0007101742943480587
10580.0,-0.0008973411445775914
10581.0,-0.0010446806369039776
10582.0,-0.0011283042466648768
10583.0,-0.0011223602570339588
10584.0,-0.0011967146241007186
10585.0,-0.0013364155932357577
10586.0,-0.0014242054720895398
10587.0,-0.001447574956890221
10588.0,-0.0016159552398064317
10589.0,-0.0018046098379066373
10590.0,-0.0020464831437418214
10591.0,-0.002234510869042323
10592.0,-0.0024015215837393826
10593.0,-0.002540018777813933
10594.0,-0.0027113191950722533
10595.0,-0.0028452423842201873
10596.0,-0.002876587360113833
10597.0,-0.002786090459666585
10598.0,-0.002627090472753711
10599.0,-0.0026141206072690915
10600.0,-0.0026006739532058666
10601.0,-0.0025844668748107704
10602.0,-0.0025117025730652053
10603.0,-0.0025079273962865323
10604.0,-0.0025507897515234866
10605.0,-0.0025768961405647924
10606.0,-0.0025322584902625718
10607.0,-0.0023273315187900163
10608.0,-0.002212153759730032
10609.0,-0.0020775161796107986
10610.0,-0.001891495342747348
10611.0,-0.0016759907656728526
10612.0,-0.0015251883976963108
10613.0,-0.0014258134264274695
10614.0,-0.0013406545582256878
10615.0,-0.0013395026086365782
10616.0,-0.0012007872240566036
10617.0,-0.0010622650367035076
10618.0,-0.0009313285729567708
10619.0,-0.0007356016805463743
10620.0,-0.0006188489627734239
10621.0,-0.0005249779945102585
10622.0,-0.0005247083374284118
10623.0,-0.0006737507505196976
10624.0,-0.0009099410842667583
10625.0,-0.0011624433382482402
10626.0,-0.0013273793750622574
10627.0,-0.0015028506777509268
10628.0,-0.0016460080381551956
10629.0,-0.001707322769513516
10630.0,-0.0017948345837583773
10631.0,-0.0019789552471487968
10632.0,-0.0020672232187394684
10633.0,-0.002098812886025638
10634.0,-0.0021630849445633915
10635.0,-0.0022382010491774967
10636.0,-0.0022009012541298616
10637.0,-0.0022144666522245825
10638.0,-0.00223079478092264
10639.0,-0.0022063738196003036
10640.0,-0.002257439846071843
10641.0,-0.002250712301290956
10642.0,-0.0023244431354455986
10643.0,-0.0023853035116307127
10644.0,-0.0025336274262028023
10645.0,-0.0026193090373698574
10646.0,-0.0026665406617489133
10647.0,-0.0026378905002646964
10648.0,-0.002574166775462594
10649.0,-0.0024524996916986765
10650.0,-0.0023808916432157016
10651.0,-0.0022595648450713856
10652.0,-0.0022600653806676323
10653.0,-0.0021369946309179994
10654.0,-0.0019057503549947466
10655.0,-0.001603367164218394
10656.0,-0.001349875537544635
10657.0,-0.0010914997143680048
10658.0,-0.0008039658097750731
10659.0,-0.0005368642436243844
10660.0,-0.0003371663187583326
10661.0,-0.00022426659717551787
10662.0,-9.118318802230038e-05
10663.0,0.0001681034392351776
10664.0,0.0004071243481861655
10665.0,0.0006109951391201504
10666.0,0.0007887367980800924
